domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
function,2015-2018,P2,F2,D,0.0245095035332456,0.0263091910150876,0.0213912715768332,0.0426990817551113,5000
function,2018-2020,P0,F0,F0,0.8373673705011735,0.8365040112556046,0.8275109716606759,0.8444255644657287,5000
function,2018-2020,P0,F0,F1,0.058725595635371,0.0580091084374647,0.0514803729520635,0.0640103990495548,5000
function,2018-2020,P0,F0,F2,0.0912856204951873,0.0910750677019551,0.0848311548205177,0.0978658302040265,5000
function,2018-2020,P0,F0,D,0.0126214133682681,0.0137673711306014,0.0105324475060708,0.0242884094690262,5000
function,2018-2020,P0,F1,F0,0.5938595172176027,0.5884431134742001,0.522634156265393,0.6224299715886596,5000
function,2018-2020,P0,F1,F1,0.1798169591539267,0.1751749006583033,0.1342666770099215,0.2052627258737852,5000
function,2018-2020,P0,F1,F2,0.2045478528044224,0.2027553129500855,0.1601634433875947,0.2338871304032884,5000
function,2018-2020,P0,F1,D,0.0217756708240477,0.0226706377039427,0.0167207814902054,0.1676261610876616,5000
function,2018-2020,P0,F2,F0,0.3375524258776354,0.3366240466950535,0.3104086381397528,0.36674004703699,5000
function,2018-2020,P0,F2,F1,0.0905580796081528,0.0891724348786351,0.0728097385215949,0.1078993454470395,5000
function,2018-2020,P0,F2,F2,0.5234504646721563,0.5213309582792243,0.4929166651765334,0.5493339683284983,5000
function,2018-2020,P0,F2,D,0.0484390298420555,0.0502841917364111,0.0395882505785175,0.074249588556868,5000
function,2018-2020,P1,F0,F0,0.774687604310187,0.7736205079572824,0.7580944777690005,0.7886721119800617,5000
function,2018-2020,P1,F0,F1,0.0726410396025637,0.0718176327087921,0.0635320469491486,0.0812266119936886,5000
function,2018-2020,P1,F0,F2,0.1395038794092204,0.139205260028596,0.1266874458397901,0.1531792308396704,5000
function,2018-2020,P1,F0,D,0.0131674766780286,0.0142580589066525,0.0104800651341049,0.0236169219934579,5000
function,2018-2020,P1,F1,F0,0.4978137006439062,0.4941809701960257,0.4416299252727668,0.5467520576658058,5000
function,2018-2020,P1,F1,F1,0.1915957873568971,0.1868938237155743,0.1494778076158672,0.2287956780639156,5000
function,2018-2020,P1,F1,F2,0.2784311392034216,0.2753663995849239,0.2295672886299104,0.3239783107939276,5000
function,2018-2020,P1,F1,D,0.032159372795775,0.0324085570265161,0.0192992269069549,0.1236993403292852,5000
function,2018-2020,P1,F2,F0,0.3100484710280267,0.3103156646098788,0.2774132324736414,0.3489962125094094,5000
function,2018-2020,P1,F2,F1,0.0939475791071035,0.0930056388083449,0.0722432448558163,0.120636500446256,5000
function,2018-2020,P1,F2,F2,0.5544262369120878,0.551653469049384,0.5138827849477471,0.587955408914104,5000
function,2018-2020,P1,F2,D,0.0415777129527821,0.0430401542281382,0.0334260614123149,0.0577476707582402,5000
function,2018-2020,P2,F0,F0,0.7245630939541219,0.7234071625480416,0.7108925350202175,0.7357635207294896,5000
function,2018-2020,P2,F0,F1,0.0797413174057075,0.0794907100527329,0.0720481794787513,0.0876525997453719,5000
function,2018-2020,P2,F0,F2,0.1857500513002369,0.1857460346651464,0.1744031256969334,0.199054167668977,5000
function,2018-2020,P2,F0,D,0.0099455373399338,0.0104234035262397,0.0078937145864808,0.0176458467627824,5000
function,2018-2020,P2,F1,F0,0.5032686137551161,0.501708439284981,0.469021502650703,0.5366726757362917,5000
function,2018-2020,P2,F1,F1,0.1711415110505996,0.1697228221293822,0.1475986372173242,0.1956557901881649,5000
function,2018-2020,P2,F1,F2,0.296917551562658,0.2956195568808361,0.2680613401622995,0.3268032672002264,5000
function,2018-2020,P2,F1,D,0.0286723236316266,0.0292521628067682,0.019389675690977,0.0567330451529083,5000
function,2018-2020,P2,F2,F0,0.3004978432100011,0.3003502088743569,0.2812283476390171,0.3212482564541148,5000
function,2018-2020,P2,F2,F1,0.0864019376571666,0.0862852329988583,0.0753266655807964,0.0994411619937392,5000
function,2018-2020,P2,F2,F2,0.5720179385459208,0.570935152139542,0.5500365525813914,0.5917304156333992,5000
function,2018-2020,P2,F2,D,0.041082280586911,0.041592336747893,0.0352192802576353,0.0498804929797479,5000
